AIAAIC_ID,Headline,Occurred,Country_ies,Sector_s,Deployer_s,Technology_ies,Purpose_s,Issues,External_harms,Internal_impacts,Summary_links,kw_score,kw_emp_hits,kw_ben_hits,kw_pub_hits,kw_llm_hits
AIAAIC0654,ID.me unemployment benefit facial recognition,,USA,Govt - welfare; Govt - tax,ID.me; US Inland Revenue Service (IRS); US Department of the Treasury; US Department of Veterans Affairs; US Patent and Trademark Office; US Social Security Adminstration; US Federal Energy Regulatory Commission,Facial recognition,Verify identity; Detect fraud,"Accuracy/reliability; Privacy; Security; Bias/discrimination - race, ethnicity",,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/id-me-facial-recognition-identity-verification,14,2,8,4,0
AIAAIC0410,Netherlands SyRI welfare fraud detection automation,,Netherlands,Govt - welfare,Ministry of Social Affairs and Employment (CZW); Benefits Intelligence Agency Foundation; Municipality of Rotterdam,Risk assessment algorithm; Machine learning,Detect & predict welfare fraud,"Bias/discrimination - race, ethnicity, economic; Privacy; Scope creep/normalisation",,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/syri-welfare-fraud-detection-automation,12,2,4,6,0
AIAAIC1647,"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism""",2020,UK,Govt - culture; Govt - employment,Arts Council England (ACE); UK Department of Work and Pensions (DWP); Historic England (HE); National Lottery Heritage Fund (NLHF); UK Cabinet Office,Automated risk assessment,Assess public funds applications,Accuracy/reliability; Bias/discrimination; Transparency,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-accused-of-covid-19-recovery-funding-cultural-elitism,11,2,4,5,0
AIAAIC0598,UK govt Spotlight fund application assessments,,UK,Govt - culture; Govt - employment,Arts Council England (ACE); Department of Work and Pensions (DWP),Automated risk assessment,Assess public funds applications,"Accuracy/reliability; Bias/discrimination - economic, political",,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-spotlight-algorithm,10,2,3,5,0
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,2025,USA,Govt ,Department of Government Efficiency,Large language model; Machine learning,Identify unneeded contracts,Accountability; Accuracy/reliability; Transparency,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/doge-uses-faulty-ai-to-cut-veterans-affairs-contracts,10,3,3,4,0
AIAAIC0826,UK DWP sued for 'unfair' disability benefits fraud detection algorithm,2022,UK,Govt - welfare,Department for Work and Pensions (DWP),Data matching algorithm; Machine learning,Detect fraud,Accountability;  Bias/discrimination; Transparency,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-disability-benefits-fraud-algorithm,10,0,6,4,0
AIAAIC0412,Unemployment risk assessment,2020,Denmark,Govt - welfare,Danish Agency for Labour Market and Recruitment,,Assess unemployment likelihood/risk,,,,,10,5,2,3,0
AIAAIC0554,Netherlands childcare benefits fraud assessments automation,,Netherlands,Govt - tax; Govt - welfare,Tax and Customs Administration; Ministry of Social Affairs & Employment,Risk assessment/classification algorithm,Detect compliance errors; Detect fraud; Assess/classify risk,"Accuracy/reliability; Bias/discrimination - race, nationality; Privacy",Anxiety/distress; Financial loss,Government resignation,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/netherlands-childcare-benefits-fraud-automation,9,2,3,4,0
AIAAIC0990,Rotterdam welfare fraud risk algorithm ,,Netherlands,Govt - welfare,Municipality of Rotterdam,Risk assessment algorithm; Machine learning,Assess & predict fraud risk,"Accuracy/reliability; Bias/discrimination - race, ethnicity, gender; Ethics/values; Oversight/review; Proportionality",Reputational damage; Financial loss,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/rotterdam-welfare-fraud-risk-algorithm,9,0,5,4,0
AIAAIC015,Michigan MiDAS unemployment insurance fraud detection,,USA,Govt - welfare,Michigan Unemployment Insurance Agency (UIA),Fraud detection system,Detect benefits fraud; Notify claimants,Accuracy/reliability; Bias/discrimination - economic; Effectiveness/value; Fairness; Oversight/review; Ownership/accountability; Risk management,Financial loss; Bankruptcy; House foreclosure; Anxiety/distress; Stereotyping; Financial loss; Reputational damage,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/michigan-midas-unemployment-insurance-fraud-detection,9,2,4,3,0
